"date","close","volume","open","high","low"
"13:02","273.91","5,004,500","270.86","275","270.161"
"2018/09/12","268.2000","10464790.0000","271.1900","271.9800","261.9200"
"2018/09/11","272.8000","6069344.0000","272.8600","276.3999","272.0200"
"2018/09/10","274.7300","5499810.0000","272.7700","275.9300","271.0000"
"2018/09/07","271.8600","7380320.0000","269.0000","276.9300","267.1900"
"2018/09/06","272.7200","8062587.0000","277.7600","277.8600","271.3910"
"2018/09/05","278.4200","9820991.0000","282.9900","284.4200","275.1500"
"2018/09/04","283.7000","9786503.0000","280.1500","285.2200","279.0000"
"2018/08/31","280.6800","7652371.0000","277.0000","281.2000","276.6000"
"2018/08/30","277.8100","8636618.0000","277.2300","281.7170","276.3200"
"2018/08/29","278.4900","10472850.0000","273.9200","279.5000","273.0800"
"2018/08/28","274.3800","11865880.0000","275.6600","276.5800","269.5300"
"2018/08/27","275.9000","12605800.0000","273.4200","278.9000","272.1450"
"2018/08/24","272.2200","13274550.0000","267.1800","272.8100","267.0000"
"2018/08/23","266.8400","17982880.0000","261.2600","269.4800","260.7012"
"2018/08/22","262.8200","18677870.0000","252.0000","263.0200","251.8600"
"2018/08/21","253.3200","16708670.0000","248.5000","253.5000","247.7000"
"2018/08/20","247.8400","21327460.0000","243.1800","253.2000","238.7200"
"2018/08/17","244.8200","28534440.0000","252.9400","252.9700","243.7300"
"2018/08/16","257.4400","19284410.0000","261.9000","262.0000","255.0100"
"2018/08/15","259.0800","14725470.0000","262.2700","263.6390","255.9000"
"2018/08/14","261.4300","11455960.0000","260.3800","262.0000","257.0200"
"2018/08/13","256.1200","9340989.0000","255.1400","261.0000","255.0700"
"2018/08/10","254.7900","6386582.0000","253.1500","256.1000","252.7000"
"2018/08/09","256.4600","5053904.0000","259.1400","259.2500","256.1500"
"2018/08/08","258.4200","6539742.0000","257.0000","260.2400","255.5900"
"2018/08/07","256.9500","6444551.0000","256.0000","257.7000","254.9201"
"2018/08/06","254.0300","5180456.0000","251.5900","254.1700","249.7059"
"2018/08/03","252.1000","5352096.0000","251.6100","253.0600","250.9300"
"2018/08/02","250.6200","6716843.0000","243.5900","250.7800","241.2100"
"2018/08/01","246.4700","7033931.0000","246.1300","248.3599","243.8860"
"2018/07/31","244.8600","7068792.0000","243.7100","247.8800","242.1411"
"2018/07/30","244.1300","8488547.0000","252.5900","252.8300","242.7200"
"2018/07/27","252.0200","7379861.0000","256.3200","256.6000","249.8400"
"2018/07/26","254.8400","8078255.0000","251.0600","256.3300","250.3800"
"2018/07/25","251.8700","7922327.0000","249.0900","252.3800","246.7500"
"2018/07/24","248.7100","8858607.0000","251.3500","254.8500","248.0000"
"2018/07/23","249.4100","7517739.0000","249.8200","249.8900","243.2800"
"2018/07/20","250.8900","5557066.0000","251.9300","253.5000","250.4500"
"2018/07/19","252.0300","5843641.0000","250.9400","253.3900","250.3300"
"2018/07/18","251.7000","6926710.0000","253.3900","253.9500","249.6400"
"2018/07/17","253.6900","9024701.0000","246.2100","254.3000","245.1800"
"2018/07/16","248.2000","4894964.0000","248.2000","250.3400","247.7000"
"2018/07/13","249.3200","6171143.0000","251.9800","251.9800","247.6200"
"2018/07/12","251.2300","8627571.0000","249.3600","253.1700","248.9600"
"2018/07/11","247.5300","9163309.0000","249.5000","250.9000","247.1000"
"2018/07/10","253.2500","8926208.0000","249.7500","254.1400","248.1200"
"2018/07/09","249.2500","7573336.0000","250.3297","250.7200","246.0707"
"2018/07/06","247.3300","7402409.0000","241.7400","247.6650","240.8800"
"2018/07/05","242.7300","7560279.0000","239.0700","242.9300","237.5000"
"2018/07/03","236.8400","5568325.0000","243.6400","243.8800","236.5000"
"2018/07/02","242.2400","8839790.0000","234.0900","242.3900","233.2649"
"2018/06/29","236.9000","9791462.0000","243.4900","244.0000","236.8500"
"2018/06/28","240.8600","8437758.0000","235.3200","241.3400","235.0100"
"2018/06/27","235.7200","11327200.0000","243.7500","246.4300","235.5000"
"2018/06/26","241.9900","11952140.0000","243.7000","245.6500","239.9101"
"2018/06/25","239.1200","16625690.0000","246.6500","246.8000","235.5400"
"2018/06/22","250.9500","10837880.0000","257.9500","258.4900","250.3301"
"2018/06/21","257.1100","8966437.0000","263.6000","264.3400","256.8000"
"2018/06/20","262.3100","9232006.0000","261.8320","264.4500","260.2808"
"2018/06/19","260.1700","14851320.0000","260.9200","263.6400","255.0200"
"2018/06/18","265.0900","8888520.0000","263.4800","265.8000","262.3800"
"2018/06/15","265.2600","10788750.0000","264.6000","267.4800","263.3484"
"2018/06/14","266.9100","10728560.0000","264.2200","269.2000","263.6200"
"2018/06/13","262.4000","8341655.0000","262.6400","265.6700","262.0310"
"2018/06/12","262.5800","7947871.0000","261.6900","263.0700","259.6600"
"2018/06/11","260.6200","6609487.0000","261.7700","263.4500","260.1000"
"2018/06/08","262.2800","9005600.0000","259.9600","264.0000","259.2000"
"2018/06/07","262.9000","9224480.0000","265.0000","265.4785","259.2500"
"2018/06/06","265.1500","9278588.0000","261.4300","265.2800","260.7700"
"2018/06/05","265.0700","9774369.0000","264.9800","266.5900","263.1700"
"2018/06/04","264.8500","16018210.0000","259.0000","265.7400","257.7000"
"2018/06/01","257.6200","10523260.0000","254.0000","257.8700","253.6500"
"2018/05/31","252.1900","12333940.0000","251.7000","255.2000","251.2700"
"2018/05/30","252.9900","9742477.0000","249.9500","253.3400","248.9515"
"2018/05/29","248.5900","8792677.0000","248.5500","251.3400","246.7000"
"2018/05/25","249.2800","7293316.0000","248.2000","249.9400","246.7600"
"2018/05/24","247.6900","10891210.0000","247.3900","249.4000","245.2410"
"2018/05/23","247.5400","11048920.0000","240.2800","247.5900","240.2500"
"2018/05/22","242.7000","12945660.0000","244.7800","245.7999","240.2500"
"2018/05/21","244.2400","15941740.0000","249.8800","250.0300","240.4900"
"2018/05/18","245.9400","12065350.0000","249.8100","252.3700","245.7400"
"2018/05/17","247.7100","12971510.0000","246.0840","251.5000","245.4300"
