"date","close","volume","open","high","low"
"15:36","8.975","47,286,019","9.23","9.31","8.96"
"2018/10/08","9.2600","43558200.0000","9.1000","9.2800","9.0900"
"2018/10/05","9.1200","36922070.0000","9.1500","9.2200","9.1000"
"2018/10/04","9.1500","38883860.0000","9.1300","9.2200","9.0900"
"2018/10/03","9.1300","46980400.0000","9.2700","9.3100","9.1300"
"2018/10/02","9.2000","41796960.0000","9.2700","9.3400","9.1800"
"2018/10/01","9.3200","44819940.0000","9.4300","9.4400","9.3000"
"2018/09/28","9.2500","30982780.0000","9.2200","9.2800","9.0900"
"2018/09/27","9.2300","38385020.0000","9.3000","9.3300","9.2000"
"2018/09/26","9.2700","58539430.0000","9.3800","9.4100","9.2700"
"2018/09/25","9.3900","43011250.0000","9.5300","9.5600","9.3700"
"2018/09/24","9.5900","43118320.0000","9.7800","9.8500","9.5200"
"2018/09/21","9.8500","73993540.0000","9.8400","9.9400","9.7800"
"2018/09/20","9.8100","45487050.0000","9.8300","9.9300","9.7100"
"2018/09/19","9.7800","40086250.0000","9.6100","9.8300","9.6100"
"2018/09/18","9.5800","57052770.0000","9.5400","9.6100","9.4800"
"2018/09/17","9.5500","29520840.0000","9.4350","9.5950","9.4300"
"2018/09/14","9.4500","29892320.0000","9.3800","9.4800","9.3600"
"2018/09/13","9.3700","29223630.0000","9.3800","9.4100","9.3100"
"2018/09/12","9.3400","25426050.0000","9.3100","9.4200","9.2800"
"2018/09/11","9.3100","27138750.0000","9.3500","9.3600","9.2200"
"2018/09/10","9.3800","30411740.0000","9.3100","9.4900","9.3000"
"2018/09/07","9.2700","51215670.0000","9.4100","9.4900","9.2500"
"2018/09/06","9.4300","29509790.0000","9.4800","9.5500","9.4000"
"2018/09/05","9.4900","44524660.0000","9.4700","9.5500","9.3200"
"2018/09/04","9.4700","54092090.0000","9.5300","9.5800","9.3600"
"2018/08/31","9.4800","76368370.0000","9.6400","9.6800","9.4000"
"2018/08/30","9.7000","48494340.0000","9.8700","9.9150","9.6700"
"2018/08/29","9.9700","37237190.0000","10.0100","10.0200","9.9000"
"2018/08/28","10.0100","33836090.0000","10.0800","10.0900","9.9500"
"2018/08/27","9.9900","49507320.0000","9.7500","10.0400","9.7300"
"2018/08/24","9.6800","18367690.0000","9.6500","9.7000","9.6100"
"2018/08/23","9.6300","31502980.0000","9.6700","9.6900","9.5800"
"2018/08/22","9.6900","30774730.0000","9.7900","9.8200","9.6800"
"2018/08/21","9.8600","46308250.0000","9.7700","9.9000","9.6900"
"2018/08/20","9.7200","25064490.0000","9.5600","9.7400","9.5600"
"2018/08/17","9.5500","32711910.0000","9.5300","9.6000","9.4600"
"2018/08/16","9.5100","28834000.0000","9.5000","9.6000","9.4900"
"2018/08/15","9.4500","36277570.0000","9.4600","9.5000","9.3500"
"2018/08/14","9.5000","37616350.0000","9.5100","9.6150","9.4500"
"2018/08/13","9.4600","66541760.0000","9.7400","9.7500","9.4200"
"2018/08/10","9.7400","39158110.0000","9.9100","9.9100","9.7200"
"2018/08/09","9.9100","35538120.0000","10.0600","10.0700","9.9000"
"2018/08/08","10.0500","22598500.0000","10.0500","10.1000","10.0400"
"2018/08/07","10.0800","27958790.0000","10.0400","10.1000","10.0200"
"2018/08/06","10.0300","21770340.0000","10.0000","10.0500","9.9700"
"2018/08/03","10.0400","25920560.0000","9.9300","10.0600","9.9300"
"2018/08/02","9.9200","40311130.0000","9.9000","9.9800","9.8400"
"2018/08/01","9.9000","44112160.0000","10.0600","10.0785","9.8200"
"2018/07/31","10.0400","38006800.0000","10.1100","10.1100","10.0000"
"2018/07/30","10.0700","35709860.0000","9.9600","10.1000","9.9300"
"2018/07/27","9.9300","46158880.0000","9.9600","10.0500","9.9100"
"2018/07/26","9.8900","103791900.0000","10.1400","10.1600","9.8400"
"2018/07/25","10.5200","92296350.0000","10.3200","10.5700","10.1200"
"2018/07/24","10.5700","47232250.0000","10.5100","10.7400","10.5000"
"2018/07/23","10.4700","34917470.0000","10.5600","10.5700","10.4200"
"2018/07/20","10.5600","41500610.0000","10.6800","10.7200","10.5100"
"2018/07/19","10.8200","40273190.0000","10.8900","10.9000","10.7700"
"2018/07/18","10.8700","36331850.0000","10.8500","10.8950","10.8100"
"2018/07/17","10.8600","37518590.0000","10.8000","10.9000","10.8000"
"2018/07/16","10.8500","46126270.0000","10.9500","10.9700","10.7600"
"2018/07/13","10.9800","36552840.0000","11.0200","11.0500","10.9100"
"2018/07/12","11.0500","26405170.0000","11.1000","11.1400","11.0000"
"2018/07/11","11.0700","30013200.0000","11.1500","11.1700","11.0500"
"2018/07/10","11.2500","21151770.0000","11.2000","11.2600","11.1700"
"2018/07/09","11.2000","23880680.0000","11.1000","11.2600","11.0300"
"2018/07/06","11.0600","25644930.0000","11.0400","11.1000","10.9200"
"2018/07/05","11.0500","30117040.0000","11.1000","11.1400","11.0200"
"2018/07/03","10.9900","16544780.0000","11.1000","11.1500","10.9400"
"2018/07/02","11.1000","37874690.0000","11.0200","11.1050","10.9100"
"2018/06/29","11.0700","44111360.0000","11.3200","11.3700","11.0300"
"2018/06/28","11.2800","43812030.0000","11.3700","11.4000","11.1500"
"2018/06/27","11.4200","27236390.0000","11.5400","11.6400","11.4000"
"2018/06/26","11.5200","36626980.0000","11.5600","11.6300","11.4900"
"2018/06/25","11.5000","35958450.0000","11.6300","11.6700","11.3800"
"2018/06/22","11.6500","37438910.0000","11.7500","11.8700","11.6200"
"2018/06/21","11.7100","33262610.0000","11.8000","11.8299","11.6400"
"2018/06/20","11.8700","31944640.0000","11.9700","12.0500","11.8300"
"2018/06/19","11.8900","40026070.0000","11.8200","11.8900","11.6700"
"2018/06/18","11.9900","32646400.0000","11.8200","12.0400","11.8100"
"2018/06/15","11.8800","56297520.0000","11.8400","12.0300","11.8000"
"2018/06/14","11.8900","34277770.0000","12.0000","12.0100","11.8400"
"2018/06/13","12.0200","27253040.0000","12.1000","12.1000","11.9600"
"2018/06/12","12.1100","51226950.0000","12.0700","12.1500","12.0300"
"2018/06/11","12.0300","30237990.0000","12.1000","12.1500","12.0200"
"2018/06/08","12.1000","27199940.0000","12.0400","12.1200","12.0000"
"2018/06/07","12.0300","46852190.0000","11.9700","12.1500","11.9600"
"2018/06/06","11.9700","30955790.0000","11.8700","12.0000","11.8200"
"2018/06/05","11.8300","31021230.0000","11.7400","11.8675","11.6800"
"2018/06/04","11.7400","25138140.0000","11.7400","11.7850","11.6900"
"2018/06/01","11.7100","35397650.0000","11.6700","11.7700","11.6100"
"2018/05/31","11.5500","61464420.0000","11.6500","11.7350","11.3600"
"2018/05/30","11.5500","25526390.0000","11.5300","11.6100","11.4700"
"2018/05/29","11.4400","31315610.0000","11.6000","11.6200","11.3600"
"2018/05/25","11.5100","19292540.0000","11.5600","11.6050","11.4700"
"2018/05/24","11.6200","33556510.0000","11.4500","11.6500","11.4400"
"2018/05/23","11.4400","23512660.0000","11.5000","11.5500","11.3300"
"2018/05/22","11.5200","22359610.0000","11.5800","11.6350","11.5100"
"2018/05/21","11.5100","30790380.0000","11.4200","11.5500","11.3900"
"2018/05/18","11.3300","22580200.0000","11.4400","11.4700","11.3000"
"2018/05/17","11.4600","20685380.0000","11.4000","11.4800","11.3800"
"2018/05/16","11.4000","26451190.0000","11.2100","11.4000","11.2000"
"2018/05/15","11.2200","26945550.0000","11.1000","11.2500","11.0600"
"2018/05/14","11.1800","26749930.0000","11.2300","11.2900","11.1700"
"2018/05/11","11.1900","19780570.0000","11.2200","11.2450","11.1600"
"2018/05/10","11.2100","32004680.0000","11.0400","11.2500","11.0200"
"2018/05/09","11.0600","43552490.0000","11.2100","11.2800","11.0200"
"2018/05/08","11.2700","25455470.0000","11.3200","11.3700","11.2350"
"2018/05/07","11.3400","27497440.0000","11.3600","11.4400","11.3100"
"2018/05/04","11.3600","32041260.0000","11.1600","11.4100","11.0900"
"2018/05/03","11.2000","38861270.0000","11.1700","11.2100","10.9700"
"2018/05/02","11.2100","41033070.0000","11.2600","11.2650","11.1200"
"2018/05/01","11.2600","61420850.0000","11.2500","11.3500","11.1000"
"2018/04/30","11.2400","65995650.0000","11.5300","11.7250","11.2200"
"2018/04/27","11.4900","33312840.0000","11.4000","11.5600","11.3800"
"2018/04/26","11.4300","80586250.0000","11.4200","11.5300","11.2900"
"2018/04/25","11.1100","39022690.0000","10.9600","11.1600","10.8700"
"2018/04/24","10.9600","39568400.0000","11.0500","11.1700","10.9300"
"2018/04/23","11.0400","31619290.0000","10.8400","11.0400","10.8300"
"2018/04/20","10.8200","44900590.0000","11.0100","11.0300","10.7800"
"2018/04/19","10.9600","49102280.0000","11.1800","11.2494","10.8500"
"2018/04/18","11.3300","46205110.0000","11.3800","11.4800","11.3000"
"2018/04/17","11.3800","30435640.0000","11.4300","11.4500","11.3000"
"2018/04/16","11.3800","32751620.0000","11.3600","11.4500","11.2700"
"2018/04/13","11.2800","34563260.0000","11.3500","11.3900","11.2300"
"2018/04/12","11.3100","46981710.0000","11.5000","11.5400","11.2500"
"2018/04/11","11.4300","31997050.0000","11.3800","11.4900","11.3000"
"2018/04/10","11.4500","43306240.0000","11.4400","11.5500","11.4100"
"2018/04/09","11.2500","36453530.0000","11.2500","11.3800","11.2000"
"2018/04/06","11.1800","31567950.0000","11.2800","11.3500","11.0700"
"2018/04/05","11.3500","28349340.0000","11.3400","11.3800","11.2300"
"2018/04/04","11.3300","44826830.0000","10.8700","11.3600","10.8000"
"2018/04/03","11.1500","42512830.0000","11.0100","11.1800","10.9000"
"2018/04/02","10.8600","43186360.0000","11.0600","11.0900","10.7000"
"2018/03/29","11.0800","39721230.0000","10.9300","11.1300","10.9150"
"2018/03/28","10.8600","42204470.0000","10.8300","10.9500","10.7300"
